node,job,start_time,init_time
worker-4,job22-torch-lenet,463,1564979269.58
worker-2,job21-tf-cnn,287,1564979269.58
worker-1,job23-torch-lenet,427,1564979269.58
worker-1,job2-torch-vae,86,1564979269.58
worker-2,job9-torch-vae,396,1564979269.58
worker-1,job20-tf-cnn,148,1564979269.58
worker-1,job24-tf-cnn,542,1564979269.58
worker-1,job26-torch-vae,263,1564979269.58
worker-1,job13-tf-drnn,154,1564979269.58
worker-4,job16-tf-drnn,341,1564979269.58
worker-3,job7-torch-vae,141,1564979269.58
worker-4,job5-torch-vae,331,1564979269.58
worker-2,job10-torch-vae,95,1564979269.58
worker-1,job25-tf-drnn,391,1564979269.58
worker-3,job8-torch-lenet,397,1564979269.58
worker-4,job1-tf-drnn,497,1564979269.58
worker-3,job12-tf-cnn,455,1564979269.58
worker-4,job15-torch-vae,229,1564979269.58
worker-2,job18-torch-vae,581,1564979269.58
worker-1,job29-tf-drnn,26,1564979269.58
worker-2,job3-torch-vae,156,1564979269.58
worker-3,job27-torch-lenet,434,1564979269.58
worker-4,job19-torch-lenet,55,1564979269.58
worker-2,job30-torch-vae,468,1564979269.58
worker-1,job11-tf-drnn,523,1564979269.58
worker-3,job28-tf-drnn,486,1564979269.58
worker-2,job4-tf-cnn,41,1564979269.58
worker-3,job6-tf-drnn,191,1564979269.58
worker-1,job17-tf-cnn,2,1564979269.58
worker-2,job14-torch-lenet,433,1564979269.58
